sep=,
7,6,6,5,6,6,5,6,5,6,6,5,6,5,5,6,15,6,6,5,6,5,6,5,5,6,6,7,6,6,6,6,6,5,5,5,5,5,5,6,5,8,5,6,6,6,5,5,6,5,8,6,6,5,5,6,6,6,5,5,6,6,5,5,6,6,6,6,5,5,5,6,6,6,5,5,5,5,6,5
6,5,5,6,6,6,6,5,6,9,6,5,5,6,5,6,5,6,6,5,6,6,5,6,6,5,6,6,7,6,6,6,6,5,6,5,6,6,6,6,5,5,6,6,6,5,6,6,6,6,5,6,6,6,6,5,6,9,5,5,5,6,6,5,6,5,5,6,1,6,6,6,6,6,5,5,5,6,6,6
5,6,6,6,6,5,6,6,6,5,6,5,5,5,6,6,6,6,6,7,5,5,5,5,6,7,6,6,5,6,6,6,6,6,7,6,5,6,5,6,6,6,6,5,5,5,6,6,5,5,6,13,5,6,6,0,6,5,5,5,5,6,5,5,6,5,6,6,5,5,5,6,7,5,6,5,6,6,6,6
5,6,6,6,6,6,6,5,5,6,6,5,5,6,6,5,6,5,6,6,6,5,6,5,7,6,6,6,6,6,6,6,5,5,6,6,5,6,5,6,6,5,5,5,6,6,6,5,6,5,6,1,5,6,6,5,6,5,5,6,6,6,6,6,6,6,5,5,6,5,5,6,7,6,6,6,5,5,5,6
5,5,6,6,5,5,6,6,5,6,6,6,5,5,5,5,6,6,5,5,6,6,5,6,6,5,6,6,6,8,5,6,5,5,6,5,5,5,6,6,6,6,6,6,6,5,6,5,6,6,6,5,6,6,5,5,6,5,6,6,6,5,6,6,5,6,6,6,5,6,6,5,6,6,6,5,5,6,6,6
6,6,5,6,6,5,6,6,5,6,6,6,6,6,6,6,5,5,5,5,6,5,6,6,6,6,5,6,5,5,6,5,6,6,6,5,6,6,6,6,5,5,6,5,6,6,5,5,6,6,5,5,6,5,6,6,6,5,5,6,5,6,6,5,6,5,5,5,6,6,6,5,5,6,8,6,5,6,6,6
6,5,5,6,6,6,6,5,6,6,6,6,5,6,6,5,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,5,6,6,5,6,5,6,5,6,6,6,5,6,6,6,6,6,5,6,6,6,6,5,6,5,6,6,6,7,6,6,6,6,5,6,5,8,6,6,6,5,6,5,5,6,6,5,6,6
6,6,5,6,6,5,5,6,5,6,6,6,5,6,5,5,6,7,8,5,6,6,5,5,6,6,5,6,6,5,5,5,5,6,5,6,6,6,5,6,5,5,6,6,5,6,6,5,6,6,5,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,5,5,5,6,6
5,6,6,5,6,5,5,6,6,5,6,6,5,5,6,6,5,6,6,6,6,6,6,6,6,5,6,5,5,6,5,6,6,6,5,5,6,6,6,6,6,5,5,5,6,5,6,5,6,6,5,5,5,5,6,6,5,6,5,6,5,6,5,6,6,5,6,5,5,6,7,7,6,5,5,5,6,6,5,7
6,5,5,6,6,5,6,6,6,5,6,5,6,6,5,5,6,5,5,6,6,5,5,6,6,6,6,6,6,6,5,6,5,5,6,5,6,7,5,6,6,5,6,6,5,6,5,6,5,5,6,5,6,6,5,6,6,5,6,5,5,6,6,5,5,7,5,6,5,5,5,6,6,5,6,6,5,6,6,6
