sep=,
178,5,6,6,5,6,6,5,6,5,6,6,5,6,6,5,6,5,5,6,6,6,22,6,6,5,6,21,6,22,21,6,6,6,6,6,6,5,21,6,21,7,6,6,6,6,5,21,7,5,21,6,6,22,6,5,5,21,21,5,6,22,6,6,6,6,6,6,21,5,6,5,6,6,6,22,5,21,5,6,22,6,6,21,21,6,5,5,6,6,6,22,6,6,6,6,6,6,6,6,6,6,5,22,5,6,5,6,6,6,5,5,6,22,5,6,22,5,6,5,5,6,21,5,6,5,5,7,6,22,6,5,5,21,6,22,5,6,21,6,6,6,6,22,6,6,6,6,24,6,5,5,21,6,5,6,7,6,5,6,5,6,5,5,6,6,5,6,6,5,22,21,6,6,6,6,6,6,5,6,6,6,5,6,6,5,13,6,6,6,5,8,6,5,22,5,21,6,6,6
5,21,6,6,6,5,6,22,6,6,6,6,6,6,3,6,5,5,6,6,6,21,6,5,5,6,6,5,6,6,5,5,6,6,5,16,5,21,5,6,6,6,7,6,6,6,5,5,6,6,6,22,6,5,6,22,13,6,6,6,5,6,5,7,6,5,6,6,6,21,6,6,21,6,22,6,21,5,21,5,6,22,21,6,6,6,6,6,6,6,6,6,6,22,21,6,6,6,6,5,5,21,6,6,5,6,6,6,6,5,5,21,6,21,6,6,6,5,21,6,21,6,6,6,22,6,6,6,6,6,6,5,6,5,21,6,22,21,21,6,5,6,22,6,5,5,5,21,6,6,21,6,21,6,21,6,6,6,6,5,5,6,5,6,6,6,21,6,21,6,6,6,21,6,6,6,5,5,5,5,6,21,5,6,6,6,6,6,5,5,21,7,22,22,6,6,6,6,5,6
6,6,21,21,5,5,6,6,6,6,6,6,6,6,21,6,6,21,5,6,6,6,6,5,5,21,6,6,21,21,21,6,6,6,6,6,5,5,5,6,5,21,6,6,6,22,6,6,6,6,6,5,21,5,6,6,6,5,5,6,5,6,6,5,21,6,21,21,6,5,6,6,6,21,22,6,6,7,6,6,6,6,5,21,22,6,6,5,6,5,5,7,6,6,6,6,6,5,6,7,6,5,6,6,6,6,6,6,21,6,21,6,21,5,5,5,6,6,5,6,6,7,21,6,5,6,21,5,21,5,6,6,5,21,5,6,21,5,6,21,6,21,22,7,5,21,6,5,5,6,6,6,6,6,5,6,5,6,21,6,5,6,5,5,6,21,6,6,6,21,6,22,22,6,5,5,6,7,6,21,6,21,5,6,5,6,6,6,6,6,6,6,21,6,6,6,6,5,7,6
21,5,21,6,6,22,6,6,6,6,6,6,6,6,6,21,6,22,22,5,5,6,6,5,5,6,6,6,5,6,6,6,5,21,5,5,6,6,6,6,6,6,6,5,21,6,6,21,6,21,6,5,6,6,6,6,5,6,5,5,6,5,5,22,6,5,5,6,6,6,6,6,6,6,5,5,5,6,6,5,22,6,6,5,22,5,5,6,6,6,21,21,5,6,7,5,6,6,5,21,5,5,6,6,5,6,7,5,6,6,6,5,5,6,5,7,6,6,6,6,5,6,5,6,22,5,6,6,5,6,6,5,6,6,6,6,6,7,5,6,6,5,5,6,5,6,6,6,5,5,21,5,5,6,6,5,6,6,5,6,21,6,6,5,5,6,21,22,6,21,5,7,6,6,6,6,21,21,22,6,7,5,6,6,6,6,6,6,6,5,5,6,6,6,5,6,6,6,5
6,6,6,6,6,6,5,5,6,21,6,21,6,5,6,7,6,6,21,21,6,21,21,5,7,6,6,6,5,5,5,6,6,6,21,5,5,6,6,22,21,6,5,5,6,21,6,21,5,6,5,5,6,4,5,6,5,6,5,6,6,21,6,6,6,5,21,23,6,6,6,6,5,6,6,6,5,6,6,6,6,5,6,5,6,17,21,6,5,7,6,6,21,21,5,6,6,6,5,6,6,8,21,5,6,6,5,21,6,6,7,6,5,6,6,6,6,5,6,6,21,5,6,21,6,21,5,22,5,6,21,5,6,6,6,6,21,5,5,6,6,6,5,5,5,5,6,5,6,6,6,6,6,5,6,22,21,5,6,6,5,6,6,21,5,5,5,5,6,6,6,6,6,6,6,6,6,5,2,5,5,6,5,6,6,6,21,5,6,5,6,5,6,21,5,6,6,7,6,6,6
22,5,21,6,6,22,6,6,7,5,6,5,6,6,5,22,21,5,6,6,6,6,5,21,5,6,6,6,6,5,22,6,5,6,6,6,6,6,5,7,6,6,5,6,21,6,5,21,6,5,5,6,6,6,21,6,5,6,5,6,6,6,6,6,5,6,6,5,6,6,5,5,7,6,5,22,6,5,6,6,6,22,6,6,21,22,6,6,5,21,6,5,6,22,6,5,6,6,5,21,6,5,6,6,6,6,6,21,21,5,6,6,5,5,22,5,6,6,5,5,6,21,6,21,7,5,5,6,6,22,5,6,22,5,5,6,6,6,6,6,6,6,6,5,6,6,5,6,5,6,21,6,6,6,6,6,6,5,6,6,6,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,22,6,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,5,21,6,6,5
6,6,6,6,6,5,6,6,5,6,6,6,21,21,6,6,5,6,6,6,21,6,6,21,6,21,5,6,5,6,5,5,21,21,5,6,6,6,5,5,5,6,5,22,5,21,6,6,6,5,5,5,6,22,6,5,6,6,6,6,6,5,5,6,6,7,6,6,5,5,6,6,21,22,22,23,6,6,5,5,6,6,5,6,6,6,6,21,6,5,6,5,6,6,6,6,7,5,6,21,6,6,6,22,5,6,5,6,7,6,6,21,6,6,5,6,6,6,25,21,6,21,5,5,6,5,5,6,5,6,6,6,22,5,5,5,5,6,6,6,7,6,6,6,6,22,6,6,6,5,6,6,6,6,6,21,21,6,6,6,5,6,5,6,6,6,6,6,6,6,22,21,6,5,21,6,6,5,6,6,5,6,5,6,6,5,6,6,22,6,6,5,5,6,5,6,6,6,21
5,6,5,6,6,6,6,21,6,6,6,6,5,5,6,6,22,6,5,6,5,6,5,5,6,6,8,6,21,21,5,21,6,21,6,6,6,6,6,21,6,5,6,6,5,6,6,5,6,6,6,6,5,6,5,21,6,6,6,5,6,5,5,6,6,5,6,6,6,21,6,6,6,6,5,6,5,5,6,6,6,6,5,6,6,6,5,6,5,6,6,6,8,6,21,5,6,6,6,6,6,7,5,6,6,5,5,6,6,6,21,6,6,5,6,5,21,6,6,6,2,21,5,6,6,6,6,21,5,5,22,5,6,6,6,21,5,6,21,5,6,5,5,21,5,5,21,6,6,6,6,6,6,5,5,7,6,6,5,6,5,6,5,22,5,5,5,6,6,5,6,22,6,5,21,6,5,6,5,6,6,21,6,6,6,21,6,6,5,6,6,6,6,5,6,6,5,6,24,6,6
6,6,5,6,5,6,5,23,21,6,6,6,6,6,5,21,6,6,5,6,6,5,6,6,5,6,5,6,6,6,6,6,6,6,6,6,5,6,21,6,7,6,5,6,6,6,5,5,5,6,21,5,5,6,6,21,22,5,6,21,5,21,7,5,5,21,6,22,5,6,6,6,6,6,6,5,5,21,6,6,21,6,6,6,7,6,6,5,22,6,5,5,6,6,6,6,6,5,5,6,6,5,21,6,5,6,5,6,21,5,21,6,21,5,7,6,5,5,5,6,6,5,5,5,22,5,21,7,21,6,6,6,6,6,6,6,6,6,6,5,6,21,6,6,6,6,6,21,6,6,6,22,6,5,6,6,6,5,5,6,6,5,6,5,6,5,6,6,6,5,5,5,3,3,6,22,6,6,5,21,5,21,5,22,5,21,5,6,5,6,22,21,5,21,6,6,5,6,5,5
5,5,6,21,21,22,6,5,5,6,6,6,6,6,5,6,5,6,6,6,6,7,6,6,22,6,6,6,5,6,21,5,21,6,6,5,5,6,21,6,5,6,5,6,6,6,5,6,5,6,5,6,6,6,5,6,21,5,5,6,6,6,5,22,6,6,5,6,5,5,5,6,21,6,6,5,6,6,6,6,5,6,5,6,6,23,21,22,5,5,6,6,6,5,6,6,6,5,5,7,5,21,6,5,5,5,6,21,6,6,6,5,22,6,21,21,6,5,5,5,7,6,5,6,6,5,6,5,7,6,6,6,5,6,5,5,21,6,6,6,5,6,6,5,6,5,6,6,21,6,5,21,6,5,6,22,5,5,6,6,6,5,6,7,6,6,6,6,21,6,21,5,5,5,5,6,6,5,6,21,21,5,21,6,5,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6
